Provider,Total_Claims,Inpatient_Ratio,Total_Reimbursement,Avg_Claim_Amount,Avg_Patient_Age,Avg_Chronic_Conditions,Unique_Physicians,Claims_per_Physician,PotentialFraud
PRV51001,25,0.2,104640,4185.6,89.67043121149896,1.496212121212121,14,1.7857142857142858,No
PRV51003,132,0.4696969696969697,605670,4588.409090909091,80.4743501991962,1.6029526029526031,44,3.0,Yes
PRV51004,149,0.0,52170,350.13422818791946,83.94677062563858,1.6073781291172595,38,3.9210526315789473,No
PRV51005,1165,0.0,280910,241.1244635193133,81.51822399214596,1.6468319559228652,6,194.16666666666666,Yes
PRV51007,72,0.041666666666666664,33710,468.19444444444446,79.48726663362365,1.6473354231974924,10,7.2,No
PRV51008,43,0.046511627906976744,35630,828.6046511627907,86.24298425735797,1.628787878787879,10,4.3,No
PRV51011,58,0.017241379310344827,16630,286.7241379310345,84.71556054911987,1.5883361921097772,28,2.0714285714285716,No
PRV51012,48,0.0,16890,351.875,87.09712746461769,1.6011730205278594,14,3.4285714285714284,No
PRV51013,46,0.0,14880,323.4782608695652,85.56449505320141,1.6012396694214877,9,5.111111111111111,No
PRV51014,30,0.0,10480,349.3333333333333,83.3569336071184,1.6363636363636365,7,4.285714285714286,No
PRV51015,8,0.0,700,87.5,83.32179524787328,1.4025974025974024,3,2.6666666666666665,No
PRV51016,6,0.0,170,28.333333333333332,81.83344741044947,1.5,3,2.0,No
PRV51017,515,0.0,142720,277.126213592233,83.8185782731984,1.6138528138528137,113,4.557522123893805,No
PRV51021,257,0.11284046692607004,348830,1357.3151750972763,84.83263570789238,1.5944055944055946,69,3.7246376811594204,Yes
PRV51023,36,0.25,65610,1822.5,83.90323653075191,1.5974025974025976,14,2.5714285714285716,No
PRV51024,39,0.23076923076923078,64050,1642.3076923076924,79.33196440793976,1.5669856459330147,13,3.0,No
PRV51025,87,0.14942528735632185,118350,1360.344827586207,84.81152058791744,1.6064593301435408,35,2.4857142857142858,No
PRV51026,76,0.0,19840,261.05263157894734,80.54903686320525,1.6314935064935063,29,2.6206896551724137,No
PRV51027,53,0.0,29840,563.0188679245283,83.30869267624915,1.5764462809917354,10,5.3,No
PRV51029,93,0.0,30660,329.6774193548387,82.4673234042922,1.6570771001150748,38,2.4473684210526314,No
PRV51030,171,0.47953216374269003,739760,4326.081871345029,82.862885600321,1.573040752351097,46,3.717391304347826,No
PRV51031,185,0.15135135135135136,359720,1944.4324324324325,84.08780304912871,1.5616676317313258,60,3.0833333333333335,No
