Provider,PotentialFraud,n_inpt_claims,n_inpt_bene,inpt_total_reimb,inpt_mean_reimb,inpt_max_reimb,inpt_min_reimb,n_outpt_claims,n_outpt_bene,outpt_total_reimb,outpt_mean_reimb,outpt_max_reimb,outpt_min_reimb,claims_total,bene_total,inpt_outpt_claim_ratio,avg_gender,avg_months_partA,avg_months_partB,avg_IP_annual_reimb,avg_OP_annual_reimb,avg_IP_annual_deduct,avg_OP_annual_deduct,ChronicCond_Alzheimer_rate,ChronicCond_Heartfailure_rate,ChronicCond_KidneyDisease_rate,ChronicCond_Cancer_rate,ChronicCond_ObstrPulmonary_rate,ChronicCond_Depression_rate,ChronicCond_Diabetes_rate,ChronicCond_IschemicHeart_rate,ChronicCond_Osteoporasis_rate,ChronicCond_rheumatoidarthritis_rate,ChronicCond_stroke_rate
PRV51001,No,5.0,5.0,97000.0,19400.0,42000.0,3000.0,1.0,1.0,20.0,20.0,20.0,20.0,6.0,6.0,2.5,1.0,12.0,12.0,36000.0,3520.0,1068.0,140.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
PRV51003,Yes,62.0,53.0,573000.0,9241.935483870968,57000.0,0.0,2.0,2.0,2600.0,1300.0,2400.0,200.0,64.0,55.0,20.666666666666668,1.7,12.0,12.0,10565.0,1047.0,1495.2,401.0,0.7,0.3,0.7,0.3,0.2,0.3,0.8,0.9,0.2,0.3,0.0
PRV51004,No,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,900.0,450.0,500.0,400.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51005,Yes,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,5790.0,482.5,2600.0,20.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51007,No,3.0,3.0,19000.0,6333.333333333333,10000.0,3000.0,3.0,1.0,360.0,120.0,200.0,60.0,6.0,4.0,0.75,2.0,12.0,12.0,6120.0,200.0,1068.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
PRV51008,No,2.0,2.0,25000.0,12500.0,21000.0,4000.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51011,No,1.0,1.0,5000.0,5000.0,5000.0,5000.0,5.0,3.0,950.0,190.0,500.0,10.0,6.0,4.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51012,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51013,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51014,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51015,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51016,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51017,No,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,3460.0,346.0,3000.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51021,Yes,29.0,23.0,269000.0,9275.862068965518,57000.0,0.0,4.0,4.0,930.0,232.5,600.0,50.0,33.0,27.0,5.8,1.7142857142857142,12.0,12.0,15931.42857142857,880.0,2136.0,755.7142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.2857142857142857
PRV51023,No,9.0,9.0,54000.0,6000.0,13000.0,3000.0,1.0,1.0,2000.0,2000.0,2000.0,2000.0,10.0,10.0,4.5,2.0,12.0,12.0,11000.0,60.0,1068.0,20.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
PRV51024,No,9.0,9.0,61000.0,6777.777777777777,13000.0,2000.0,1.0,1.0,100.0,100.0,100.0,100.0,10.0,10.0,4.5,1.5,12.0,12.0,11900.0,1950.0,1068.0,215.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0
PRV51025,No,13.0,12.0,86000.0,6615.384615384615,17000.0,2000.0,1.0,1.0,90.0,90.0,90.0,90.0,14.0,13.0,6.5,2.0,12.0,12.0,3000.0,60.0,1068.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
PRV51026,No,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,430.0,86.0,200.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51027,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51029,No,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,190.0,47.5,100.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51030,No,82.0,71.0,705600.0,8604.878048780487,57000.0,0.0,1.0,1.0,70.0,70.0,70.0,70.0,83.0,72.0,41.0,1.7272727272727273,12.0,12.0,11778.181818181818,4255.454545454545,1262.1818181818182,990.0,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.8181818181818182,1.0,0.36363636363636365,0.2727272727272727,0.0
PRV51031,No,28.0,26.0,329000.0,11750.0,68000.0,0.0,2.0,2.0,140.0,70.0,80.0,60.0,30.0,28.0,9.333333333333334,1.6,12.0,12.0,17960.0,3888.0,1068.0,1086.0,0.8,0.8,0.8,0.2,0.6,0.6,0.8,0.8,0.8,0.4,0.0
PRV51032,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51035,No,1.0,1.0,29000.0,29000.0,29000.0,29000.0,1.0,1.0,50.0,50.0,50.0,50.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51036,No,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,570.0,114.0,400.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51037,Yes,23.0,21.0,214000.0,9304.347826086956,23000.0,3000.0,15.0,7.0,1860.0,124.0,500.0,0.0,38.0,28.0,1.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51038,No,30.0,26.0,229600.0,7653.333333333333,17000.0,600.0,5.0,3.0,3300.0,660.0,1600.0,100.0,35.0,29.0,5.0,2.0,12.0,12.0,24400.0,1290.0,1424.0,113.33333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
PRV51040,No,9.0,8.0,63000.0,7000.0,21000.0,0.0,3.0,3.0,460.0,153.33333333333334,300.0,60.0,12.0,11.0,2.25,1.0,12.0,12.0,35000.0,2040.0,4272.0,1850.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
PRV51041,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,40.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51042,No,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1620.0,324.0,700.0,60.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51043,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51044,No,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,160.0,80.0,90.0,70.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51045,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51046,No,8.0,7.0,101000.0,12625.0,38000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,2.0,12.0,12.0,11000.0,100.0,1068.0,90.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
PRV51047,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,20.0,20.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51048,No,4.0,4.0,19000.0,4750.0,7000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,12.0,12.0,11000.0,2060.0,2136.0,1415.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0
PRV51049,No,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,400.0,200.0,300.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51052,Yes,2.0,2.0,14000.0,7000.0,9000.0,5000.0,1.0,1.0,60.0,60.0,60.0,60.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51053,No,1.0,1.0,8000.0,8000.0,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51054,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,70.0,70.0,70.0,70.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
